plant number,inflorescence number,inflorescence,range,max_range,gender,notes
4,8,side,1,two,male,
4,8,side,2,two,male,
4,8,side,2,two,male,
4,8,side,2,two,male,
4,9,side,1,two,male,
4,9,side,2,two,male,
4,9,side,2,two,male,
4,9,side,2,two,male,
4,10,side,1,two,male,
4,10,side,2,two,male,
4,10,side,2,two,male,
4,10,side,2,two,male,
4,1,upper,0,,male,
4,2,upper,1,three,male,
4,2,upper,2,three,male,
4,2,upper,2,three,male,
4,2,upper,2,three,male,
4,2,upper,3,three,herm,
4,2,upper,3,three,herm,
4,2,upper,3,three,herm,
4,2,upper,3,three,herm,
4,3,upper,1,three,male,
4,3,upper,2,three,male,
4,3,upper,2,three,male,
4,3,upper,3,three,male,
4,4,upper,1,two,male,
4,4,upper,2,two,male,
4,4,upper,2,two,male,
4,4,upper,2,two,male,
4,5,upper,1,three,male,
4,5,upper,2,three,male,
4,5,upper,2,three,male,
4,5,upper,2,three,male,
4,5,upper,3,three,herm,
4,5,upper,3,three,herm,
4,6,upper,1,three,male,
4,6,upper,2,three,male,
4,6,upper,2,three,male,
4,6,upper,2,three,male,
4,6,upper,3,three,herm,
4,6,upper,3,three,herm,
4,7,upper,1,three,male,
4,7,upper,2,three,male,
4,7,upper,2,three,male,
4,7,upper,2,three,male,
4,7,upper,3,three,male,
4,7,upper,3,three,male,
4,7,upper,3,three,male,
4,7,upper,3,three,herm,
4,8,upper,1,three,male,
4,8,upper,2,three,male,
4,8,upper,2,three,male,
4,8,upper,3,three,herm,
4,9,upper,1,two,male,
4,9,upper,2,two,male,
4,9,upper,2,two,male,
4,10,upper,1,two,male,
4,10,upper,2,two,male,
4,10,upper,2,two,male,
5,1,side,1,two,male,
5,1,side,2,two,herm,
5,1,side,2,two,herm,
5,1,side,2,two,herm,
5,2,side,1,three,male,
5,2,side,2,three,herm,
5,2,side,2,three,herm,
5,2,side,2,three,herm,
5,2,side,3,three,herm,
5,3,side,1,three,male,
5,3,side,2,three,herm,
5,3,side,2,three,herm,
5,3,side,2,three,herm,
5,3,side,3,three,herm,
5,4,side,1,three,male,
5,4,side,2,three,herm,
5,4,side,2,three,herm,
5,4,side,2,three,herm,
5,4,side,2,three,herm,
5,4,side,3,three,herm,
5,5,side,1,three,male,
5,5,side,2,three,herm,
5,5,side,2,three,herm,
5,5,side,2,three,herm,
5,5,side,3,three,herm,
5,6,side,1,three,male,
5,6,side,2,three,herm,
5,6,side,2,three,herm,
5,6,side,2,three,herm,
5,6,side,2,three,herm,
5,6,side,3,three,herm,
5,7,side,1,three,male,
5,7,side,2,three,herm,
5,7,side,2,three,herm,
5,7,side,2,three,herm,
5,7,side,3,three,herm,
5,8,side,1,two,male,
5,8,side,2,two,herm,
5,8,side,2,two,herm,
5,8,side,2,two,herm,
5,8,side,2,two,herm,
5,9,side,1,three,male,
5,9,side,2,three,herm,
5,9,side,2,three,herm,
5,9,side,2,three,herm,
5,9,side,2,three,herm,
5,9,side,3,three,herm,
5,9,side,3,three,herm,
5,9,side,3,three,herm,
5,9,side,3,three,herm,
5,9,side,3,three,herm,
5,10,side,1,two,male,
5,10,side,2,two,herm,
5,10,side,2,two,herm,
5,10,side,2,two,herm,
5,10,side,2,two,herm,
5,1,upper,0,,male,
5,2,upper,1,two,male,
5,2,upper,2,two,herm,
5,2,upper,2,two,herm,
5,3,upper,1,two,herm,
5,3,upper,2,two,herm,
5,3,upper,2,two,herm,
5,4,upper,1,three,male,
5,4,upper,2,three,herm,
5,4,upper,2,three,herm,
5,4,upper,3,three,herm,
5,5,upper,1,two,herm,
5,5,upper,2,two,herm,
5,5,upper,2,two,herm,
5,6,upper,1,two,male,
5,6,upper,2,two,herm,
5,6,upper,2,two,herm,
5,7,upper,1,three,male,
5,7,upper,2,three,herm,
5,7,upper,2,three,herm,
5,7,upper,3,three,herm,
6,1,side,1,two,male,anomal
6,2,side,1,two,male,
6,2,side,2,two,male,
6,2,side,2,two,male,
6,2,side,2,two,male,
6,2,side,2,two,male,
6,3,side,1,two,male,
6,3,side,2,two,herm,
6,3,side,2,two,herm,
6,3,side,2,two,herm,
6,3,side,2,two,herm,
6,4,side,1,three,male,
6,4,side,2,three,herm,
6,4,side,2,three,herm,
6,4,side,2,three,male,
6,4,side,2,three,male,
6,4,side,3,three,herm,
6,4,side,3,three,herm,
6,4,side,3,three,herm,
6,5,side,1,two,male,
6,5,side,2,two,herm,
6,5,side,2,two,herm,
6,5,side,2,two,male,
6,5,side,2,two,male,
6,6,side,1,two,male,
6,6,side,2,two,herm,
6,6,side,2,two,herm,
6,6,side,2,two,herm,
6,6,side,2,two,male,
6,7,side,1,three,male,
6,7,side,2,three,herm,
6,7,side,2,three,herm,
6,7,side,2,three,herm,
6,7,side,2,three,male,
6,7,side,3,three,herm,
6,8,side,1,two,male,
6,8,side,2,two,herm,
6,8,side,2,two,herm,
6,8,side,2,two,herm,
6,8,side,2,two,herm,
6,9,side,1,two,male,
6,9,side,2,two,herm,
6,9,side,2,two,herm,
6,9,side,2,two,herm,
6,9,side,2,two,male,
6,10,side,1,two,male,
6,10,side,2,two,herm,
6,10,side,2,two,herm,
6,10,side,2,two,herm,
6,10,side,2,two,herm,
6,11,side,1,two,male,
6,11,side,2,two,herm,
6,11,side,2,two,herm,
6,11,side,2,two,herm,
6,11,side,2,two,male,
6,12,side,1,two,male,
6,12,side,2,two,herm,
6,12,side,2,two,herm,
6,12,side,2,two,herm,
6,1,upper,0,,male,
6,2,upper,1,two,male,
6,2,upper,2,two,herm,
6,2,upper,2,two,herm,
6,2,upper,2,two,male,
6,3,upper,1,two,male,
6,3,upper,2,two,herm,
6,3,upper,2,two,herm,
6,4,upper,1,two,male,
6,4,upper,2,two,herm,
6,4,upper,2,two,herm,
6,5,upper,1,two,male,
6,5,upper,2,two,herm,
6,5,upper,2,two,herm,
6,6,upper,1,two,male,
6,6,upper,2,two,herm,
6,6,upper,2,two,herm,
6,7,upper,1,two,herm,
6,7,upper,2,two,herm,
7,1,side,1,two,male,anomal
7,1,side,2,two,herm,anomal
7,2,side,1,three,male,
7,2,side,2,three,male,
7,2,side,2,three,male,
7,2,side,2,three,herm,
7,2,side,3,three,herm,
7,2,side,3,three,herm,
7,2,side,3,three,herm,
7,3,side,1,three,male,
7,3,side,2,three,male,
7,3,side,2,three,male,
7,3,side,2,three,male,
7,3,side,3,three,herm,
7,3,side,3,three,herm,
7,3,side,3,three,herm,
7,3,side,3,three,herm,
7,4,side,1,three,male,
7,4,side,2,three,male,
7,4,side,2,three,male,
7,4,side,2,three,male,
7,4,side,3,three,herm,
7,4,side,3,three,herm,
7,4,side,3,three,herm,
7,4,side,3,three,herm,
7,4,side,3,three,herm,
7,5,side,1,three,male,
7,5,side,2,three,male,
7,5,side,2,three,male,
7,5,side,2,three,herm,
7,5,side,3,three,herm,
7,5,side,3,three,herm,
7,5,side,3,three,herm,
7,5,side,3,three,herm,
7,6,side,1,three,male,
7,6,side,2,three,male,
7,6,side,2,three,herm,
7,6,side,3,three,herm,
7,6,side,3,three,herm,
7,6,side,3,three,herm,
7,7,side,1,three,male,
7,7,side,2,three,male,
7,7,side,2,three,male,
7,7,side,2,three,male,
7,7,side,2,three,male,
7,7,side,3,three,herm,
7,7,side,3,three,herm,
7,8,side,1,three,male,
7,8,side,2,three,male,
7,8,side,2,three,male,
7,8,side,2,three,male,
7,8,side,3,three,herm,
7,8,side,3,three,herm,
7,8,side,3,three,herm,
7,8,side,3,three,herm,
7,9,side,1,three,male,
7,9,side,2,three,male,
7,9,side,2,three,male,
7,9,side,2,three,male,
7,9,side,3,three,herm,
7,9,side,3,three,herm,
7,9,side,3,three,herm,
7,10,side,1,three,male,
7,10,side,2,three,herm,
7,10,side,2,three,herm,
7,10,side,3,three,herm,
7,10,side,3,three,herm,
7,10,side,3,three,herm,
7,10,side,3,three,herm,
7,11,side,1,three,male,
7,11,side,2,three,herm,
7,11,side,2,three,herm,
7,11,side,3,three,herm,
7,11,side,3,three,herm,
7,11,side,3,three,herm,
7,11,side,3,three,herm,
7,1,upper,0,,male,
7,2,upper,1,two,male,
7,2,upper,2,two,herm,
7,2,upper,2,two,herm,
7,3,upper,1,two,male,
7,3,upper,2,two,herm,
7,3,upper,2,two,herm,
7,4,upper,1,three,male,
7,4,upper,2,three,herm,
7,4,upper,2,three,herm,
7,4,upper,3,three,herm,
7,4,upper,3,three,herm,
7,4,upper,3,three,herm,
7,5,upper,1,two,male,
7,5,upper,2,two,herm,
7,5,upper,2,two,herm,
7,6,upper,1,three,male,
7,6,upper,2,three,herm,
7,6,upper,2,three,herm,
7,6,upper,3,three,herm,
8,1,side,1,two,male,anomal
8,1,side,2,two,herm,anomal
8,1,side,2,two,male,anomal
8,1,side,2,two,male,anomal
8,2,side,1,two,male,
8,2,side,2,two,herm,
8,2,side,2,two,herm,
8,2,side,2,two,male,
8,2,side,2,two,male,
8,3,side,1,two,male,
8,3,side,2,two,herm,
8,3,side,2,two,herm,
8,3,side,2,two,herm,
8,3,side,2,two,male,
8,4,side,1,three,male,
8,4,side,2,three,herm,
8,4,side,2,three,herm,
8,4,side,2,three,herm,
8,4,side,2,three,male,
8,4,side,3,three,herm,
8,5,side,1,two,male,
8,5,side,2,two,herm,
8,5,side,2,two,herm,
8,5,side,2,two,herm,
8,6,side,1,two,male,
8,6,side,2,two,herm,
8,6,side,2,two,herm,
8,6,side,2,two,herm,
8,6,side,2,two,male,
8,7,side,1,two,male,
8,7,side,2,two,herm,
8,7,side,2,two,herm,
8,7,side,2,two,male,
8,7,side,2,two,male,
8,8,side,1,two,male,
8,8,side,2,two,herm,
8,8,side,2,two,herm,
8,8,side,2,two,male,
8,8,side,2,two,male,
8,9,side,1,three,male,
8,9,side,2,three,herm,
8,9,side,2,three,herm,
8,9,side,2,three,herm,
8,9,side,2,three,herm,
8,9,side,3,three,herm,
8,9,side,3,three,herm,
8,10,side,1,two,male,
8,10,side,2,two,herm,
8,10,side,2,two,herm,
8,10,side,2,two,male,
8,10,side,2,two,male,
8,11,side,1,two,male,
8,11,side,2,two,herm,
8,11,side,2,two,herm,
8,11,side,2,two,herm,
8,11,side,2,two,herm,
8,1,upper,0,,male,
8,1,upper,1,two,male,
8,2,upper,1,two,male,
8,2,upper,2,two,herm,
8,2,upper,2,two,herm,
8,2,upper,2,two,herm,
8,2,upper,2,two,herm,
8,3,upper,1,two,male,
8,3,upper,2,two,herm,
8,3,upper,2,two,herm,
8,3,upper,2,two,herm,
8,4,upper,1,two,male,
8,4,upper,2,two,herm,
8,4,upper,2,two,herm,
8,4,upper,2,two,herm,
8,4,upper,2,two,herm,
8,5,upper,1,two,male,
8,5,upper,2,two,herm,
8,5,upper,2,two,herm,
8,5,upper,2,two,herm,
8,6,upper,1,two,male,
8,6,upper,2,two,herm,
8,6,upper,2,two,herm,
8,6,upper,2,two,herm,
8,7,upper,1,two,male,
8,7,upper,2,two,herm,
8,7,upper,2,two,herm,
8,8,upper,1,two,male,
8,8,upper,2,two,herm,
8,8,upper,2,two,herm,
9,1,side,1,,male,anomal
9,2,side,1,three,male,
9,2,side,2,three,herm,
9,2,side,2,three,herm,
9,2,side,2,three,herm,
9,2,side,3,three,herm,
9,2,side,3,three,herm,
9,3,side,1,two,male,
9,3,side,2,two,herm,
9,3,side,2,two,herm,
9,3,side,2,two,herm,
9,4,side,1,two,male,
9,4,side,2,two,herm,
9,4,side,2,two,herm,
9,4,side,2,two,herm,
9,5,side,1,two,male,
9,5,side,2,two,herm,
9,5,side,2,two,herm,
9,5,side,2,two,herm,
9,5,side,2,two,herm,
9,6,side,1,two,male,
9,6,side,2,two,herm,
9,6,side,2,two,herm,
9,6,side,2,two,herm,
9,6,side,2,two,herm,
9,7,side,1,two,male,
9,7,side,2,two,herm,
9,7,side,2,two,herm,
9,7,side,2,two,herm,
9,8,side,1,three,male,
9,8,side,2,three,herm,
9,8,side,2,three,herm,
9,8,side,2,three,herm,
9,8,side,3,three,male,
9,9,side,1,two,male,
9,9,side,2,two,herm,
9,9,side,2,two,herm,
9,9,side,2,two,herm,
9,10,side,1,two,male,
9,10,side,2,two,herm,
9,10,side,2,two,herm,
9,10,side,2,two,herm,
9,11,side,1,two,male,
9,11,side,2,two,herm,
9,11,side,2,two,herm,
9,11,side,2,two,herm,
9,12,side,1,three,male,
9,12,side,2,three,herm,
9,12,side,2,three,herm,
9,12,side,2,three,herm,
9,12,side,3,three,herm,
9,1,upper,0,,male,
9,2,upper,1,two,male,
9,2,upper,2,two,herm,
9,2,upper,2,two,herm,
9,2,upper,2,two,herm,
9,3,upper,1,two,herm,
9,3,upper,2,two,herm,
9,3,upper,2,two,herm,
9,3,upper,2,two,herm,
9,4,upper,1,two,herm,
9,4,upper,2,two,herm,
9,4,upper,2,two,herm,
9,4,upper,2,two,herm,
9,5,upper,1,two,herm,
9,5,upper,2,two,herm,
9,5,upper,2,two,herm,
9,5,upper,2,two,herm,
9,6,upper,1,two,male,
9,6,upper,2,two,herm,
9,6,upper,2,two,herm,
9,6,upper,2,two,herm,
9,7,upper,1,two,herm,
9,7,upper,2,two,herm,
9,7,upper,2,two,herm,
9,7,upper,2,two,herm,
9,8,upper,1,two,herm,
9,8,upper,2,two,herm,
9,8,upper,2,two,herm,
9,8,upper,2,two,herm,
10,1,side,1,three,male,anomal
10,1,side,2,three,herm,anomal
10,1,side,2,three,herm,anomal
10,1,side,2,three,herm,anomal
10,1,side,2,three,herm,anomal
10,1,side,3,three,herm,anomal
10,1,side,3,three,herm,anomal
10,2,side,1,two,male,anomal
10,2,side,2,two,herm,anomal
10,2,side,2,two,herm,anomal
10,2,side,2,two,herm,anomal
10,3,side,1,three,male,
10,3,side,2,three,herm,
10,3,side,2,three,herm,
10,3,side,2,three,herm,
10,3,side,2,three,herm,
10,3,side,3,three,herm,
10,3,side,3,three,herm,
10,3,side,3,three,herm,
10,4,side,1,three,male,
10,4,side,2,three,herm,
10,4,side,2,three,herm,
10,4,side,2,three,herm,
10,4,side,2,three,herm,
10,4,side,3,three,herm,
10,5,side,1,three,male,
10,5,side,2,three,herm,
10,5,side,2,three,herm,
10,5,side,2,three,herm,
10,5,side,2,three,herm,
10,5,side,3,three,herm,
10,5,side,3,three,herm,
10,5,side,3,three,herm,
10,5,side,3,three,herm,
10,6,side,1,three,male,
10,6,side,2,three,herm,
10,6,side,2,three,herm,
10,6,side,2,three,herm,
10,6,side,2,three,herm,
10,6,side,3,three,herm,
10,6,side,3,three,herm,
10,6,side,3,three,herm,
10,6,side,3,three,herm,
10,6,side,3,three,herm,
10,7,side,1,three,male,
10,7,side,2,three,herm,
10,7,side,2,three,herm,
10,7,side,2,three,herm,
10,7,side,2,three,herm,
10,7,side,3,three,herm,
10,7,side,3,three,herm,
10,7,side,3,three,herm,
10,8,side,1,three,herm,
10,8,side,2,three,herm,
10,8,side,2,three,herm,
10,8,side,2,three,herm,
10,8,side,3,three,herm,
10,8,side,3,three,herm,
10,9,side,1,three,herm,
